3.000000 	 0 0
3.040000 	 0 0
3.080000 	 0 0
3.120000 	 0 0
3.160000 	 0 0
3.200000 	 0 0
3.240000 	 0 0
3.280000 	 0 0
3.320000 	 0 0
3.360000 	 0 0
3.400000 	 0 0
3.440000 	 0 0
3.480000 	 0 0
3.520000 	 0 0
3.560000 	 0 0
3.600000 	 0 0
3.640000 	 0 0
3.680000 	 0 0
3.720000 	 0 0
3.760000 	 0 0
3.800000 	 0 0
3.840000 	 0 0
3.880000 	 0 0
3.920000 	 0 0
3.960000 	 0 0
4.000000 	 0 0
4.040000 	 0 0
4.080000 	 0 0
4.120000 	 0 0
4.160000 	 0 0
4.200000 	 0 0
4.240000 	 0 0
4.280000 	 0 0
4.320000 	 0 0
4.360000 	 1 0
4.400000 	 1 0
4.440000 	 4 0
4.480000 	 13 0
4.520000 	 25 0
4.560000 	 32 0
4.600000 	 60 0
4.640000 	 103 0
4.680000 	 193 0
4.720000 	 164 0
4.760000 	 167 0
4.800000 	 139 0
4.840000 	 77 0
4.880000 	 17 0
4.920000 	 3 0
4.960000 	 0 0
5.000000 	 0 0
5.040000 	 0 0
5.080000 	 0 0
5.120000 	 0 0
5.160000 	 0 0
5.200000 	 0 0
5.240000 	 0 0
5.280000 	 0 11
5.320000 	 0 56
5.360000 	 0 161
5.400000 	 0 396
5.440000 	 0 194
5.480000 	 0 125
5.520000 	 0 48
5.560000 	 0 7
5.600000 	 0 1
5.640000 	 0 0
5.680000 	 0 0
5.720000 	 0 0
5.760000 	 0 0
5.800000 	 0 0
5.840000 	 0 0
5.880000 	 0 0
5.920000 	 0 0
5.960000 	 0 0
6.000000 	 0 0
6.040000 	 0 0
6.080000 	 0 0
6.120000 	 0 0
6.160000 	 0 0
6.200000 	 0 0
6.240000 	 0 0
6.280000 	 0 0
6.320000 	 0 0
6.360000 	 0 0
6.400000 	 0 0
6.440000 	 0 0
6.480000 	 0 0
6.520000 	 0 0
6.560000 	 0 0
6.600000 	 0 0
6.640000 	 0 0
6.680000 	 0 0
6.720000 	 0 0
6.760000 	 0 0
6.800000 	 0 0
6.840000 	 0 0
6.880000 	 0 0
6.920000 	 0 0
6.960000 	 0 0
