1.000000 	 0 
1.040000 	 0 
1.080000 	 0 
1.120000 	 0 
1.160000 	 0 
1.200000 	 0 
1.240000 	 0 
1.280000 	 0 
1.320000 	 0 
1.360000 	 0 
1.400000 	 0 
1.440000 	 0 
1.480000 	 0 
1.520000 	 0 
1.560000 	 0 
1.600000 	 0 
1.640000 	 0 
1.680000 	 0 
1.720000 	 0 
1.760000 	 0 
1.800000 	 0 
1.840000 	 0 
1.880000 	 0 
1.920000 	 0 
1.960000 	 0 
2.000000 	 0 
2.040000 	 0 
2.080000 	 0 
2.120000 	 0 
2.160000 	 0 
2.200000 	 0 
2.240000 	 0 
2.280000 	 0 
2.320000 	 0 
2.360000 	 0 
2.400000 	 0 
2.440000 	 0 
2.480000 	 1 
2.520000 	 0 
2.560000 	 5 
2.600000 	 32 
2.640000 	 73 
2.680000 	 131 
2.720000 	 194 
2.760000 	 233 
2.800000 	 199 
2.840000 	 97 
2.880000 	 32 
2.920000 	 3 
2.960000 	 0 
3.000000 	 0 
3.040000 	 0 
3.080000 	 0 
3.120000 	 0 
3.160000 	 1 
3.200000 	 11 
3.240000 	 75 
3.280000 	 206 
3.320000 	 308 
3.360000 	 224 
3.400000 	 112 
3.440000 	 47 
3.480000 	 13 
3.520000 	 3 
3.560000 	 0 
3.600000 	 0 
3.640000 	 0 
3.680000 	 0 
3.720000 	 0 
3.760000 	 0 
3.800000 	 0 
3.840000 	 0 
3.880000 	 0 
3.920000 	 0 
3.960000 	 0 
4.000000 	 0 
4.040000 	 0 
4.080000 	 0 
4.120000 	 0 
4.160000 	 0 
4.200000 	 0 
4.240000 	 0 
4.280000 	 0 
4.320000 	 0 
4.360000 	 0 
4.400000 	 0 
4.440000 	 0 
4.480000 	 0 
4.520000 	 0 
4.560000 	 0 
4.600000 	 0 
4.640000 	 0 
4.680000 	 0 
4.720000 	 0 
4.760000 	 0 
4.800000 	 0 
4.840000 	 0 
4.880000 	 0 
4.920000 	 0 
4.960000 	 0 

